chr12	41831540	41968392	NM_013377	0	+	41831746	41967692	0	8	275,257,103,99,63,102,117,2227,	0,68717,72072,114917,117959,125809,130044,134625,
chr12	41582249	41968392	NM_001164595	0	+	41582257	41967692	0	10	656,87,108,257,103,99,63,102,117,2227,	0,3010,5633,318008,321363,364208,367250,375100,379335,383916,
chr12	33528347	33592754	NM_198992	0	-	33529764	33592457	0	7	1489,130,172,121,568,358,448,	0,4419,6936,9758,31376,50725,63959,
chr12	75433857	75603528	NM_153748	0	-	75436092	75601763	0	5	1129,95,928,706,542,	0,2202,10312,167219,169129,
chr12	75433857	75603528	NM_001260499	0	-	75436884	75601763	0	4	3164,928,706,542,	0,10312,167219,169129,
chr12	75433857	75603528	NM_001260498	0	-	75434876	75601763	0	5	1129,165,928,706,542,	0,8075,10312,167219,169129,
chr12	125811161	126146923	NM_052907	0	+	125811169	126139256	0	9	60,892,147,187,144,206,271,192,8813,	0,22836,88915,192823,257235,317460,324067,325825,326949,
chr12	75433857	75603528	NM_001260497	0	-	75437516	75601763	0	5	3736,165,928,706,542,	0,8075,10312,167219,169129,
chr12	75433857	75603528	NM_139137	0	-	75436884	75601763	0	5	3164,165,928,706,542,	0,8075,10312,167219,169129,
chr12	75433857	75603528	NM_139136	0	-	75436092	75601763	0	6	1129,95,165,928,706,542,	0,2202,8075,10312,167219,169129,
chr12	109038884	109125326	NM_014325	0	-	109041178	109095094	0	11	2414,246,58,146,105,120,182,130,123,200,122,	0,3496,3854,7163,9197,12195,13629,16920,33163,56015,86320,
chr12	100661548	100733914	NM_017988	0	+	100676748	100732950	0	18	22,205,158,145,150,222,117,126,177,123,114,133,119,101,67,96,120,1609,	0,15172,23732,30260,43273,44661,45651,46718,47787,50032,55754,58851,61430,66395,67854,68040,69616,70757,
chr12	109038884	109124619	NM_001276471	0	-	109041178	109095094	0	11	2414,246,58,146,105,120,182,130,123,200,221,	0,3496,3854,7163,9197,12195,13629,16920,33163,56015,85514,
chr12	109038884	109096774	NM_001105237	0	-	109041178	109096725	0	11	2414,246,58,146,105,120,182,130,123,200,203,	0,3496,3854,7163,9197,12195,13629,16920,33163,56015,57687,
chr12	117348760	117468953	NM_153348	0	+	117348842	117465977	0	11	400,105,165,89,158,197,207,128,174,111,3121,	0,17067,34408,38662,53741,74250,77707,99367,113191,116438,117072,
chr12	117348760	117468953	NM_012174	0	+	117348842	117465977	0	11	202,105,165,89,158,197,207,128,174,111,3121,	0,17067,34408,38662,53741,74250,77707,99367,113191,116438,117072,
chr12	1021254	1058863	NM_134424	0	-	1022556	1042224	0	12	1364,228,102,140,182,76,119,68,94,102,102,96,	0,1805,2342,4255,4550,13361,15056,17730,17962,19131,20886,37513,
chr12	2055213	2113677	NM_152640	0	-	2055371	2113597	0	9	239,249,873,129,136,67,128,41,230,	0,3038,6368,9384,19510,21796,47216,51887,58234,
chr12	3068477	3149842	NM_003213	0	+	3103932	3149644	0	13	170,93,255,65,63,129,44,56,140,174,141,153,312,	0,636,35426,51692,52858,58086,59233,59803,61322,62532,78656,80795,81053,
chr12	3068747	3149842	NM_201443	0	+	3126596	3149644	0	11	459,65,63,129,44,56,140,174,141,153,312,	0,51422,52588,57816,58963,59533,61052,62262,78386,80525,80783,
chr12	3068477	3149842	NM_201441	0	+	3103932	3149644	0	12	170,93,255,65,63,44,56,140,174,141,153,312,	0,636,35426,51692,52858,59233,59803,61322,62532,78656,80795,81053,
chr12	12510019	12619838	NM_058169	0	+	12510385	12618710	0	4	424,144,158,1359,	0,4120,78542,108460,
chr12	15475190	15751265	NM_002848	0	+	15475660	15747975	0	26	545,274,159,153,444,162,197,121,194,112,152,121,140,133,121,69,36,82,91,77,135,123,155,136,121,2242,	0,161717,174988,177185,179363,181651,186314,193241,194506,197944,202557,203885,224312,226837,229294,235198,243336,247160,256596,257782,258440,259422,264640,267198,272680,273833,
chr12	14656596	14720791	NM_024829	0	-	14656705	14720630	0	11	292,107,186,141,201,145,141,139,84,220,276,	0,2499,3270,7597,7848,31996,32907,37101,38545,49530,63919,
chr12	15699277	15751265	NM_030669	0	+	15702156	15747975	0	15	365,133,121,69,84,36,82,91,77,135,123,155,136,121,2242,	0,2750,5207,11111,13849,19249,23073,32509,33695,34353,35335,40553,43111,48593,49746,
chr12	15699277	15751265	NM_030668	0	+	15702156	15747975	0	14	365,133,121,69,36,82,91,77,135,123,155,136,121,2242,	0,2750,5207,11111,19249,23073,32509,33695,34353,35335,40553,43111,48593,49746,
chr12	15475190	15751265	NM_030667	0	+	15475660	15747975	0	27	545,274,159,153,444,162,197,121,194,112,152,121,140,133,121,69,84,36,82,91,77,135,123,155,136,121,2242,	0,161717,174988,177185,179363,181651,186314,193241,194506,197944,202557,203885,224312,226837,229294,235198,237936,243336,247160,256596,257782,258440,259422,264640,267198,272680,273833,
chr12	15699277	15751265	NM_030671	0	+	15702156	15747975	0	14	365,133,121,69,84,36,82,91,77,135,123,155,136,3395,	0,2750,5207,11111,13849,19249,23073,32509,33695,34353,35335,40553,43111,48593,
chr12	15699277	15751265	NM_030670	0	+	15702156	15747975	0	13	365,133,121,69,36,82,91,77,135,123,155,136,3395,	0,2750,5207,11111,19249,23073,32509,33695,34353,35335,40553,43111,48593,
chr12	21950323	22089628	NM_020297	0	-	21953977	22089608	0	38	3792,63,134,104,109,79,131,121,102,103,93,158,70,149,230,97,126,138,81,85,102,39,106,73,108,109,143,41,163,135,156,153,195,243,167,122,142,162,	0,8608,9956,12462,14659,17254,18373,19797,20760,31568,40688,44924,47093,47377,48213,50760,54707,54978,62196,63581,65563,67049,75235,78264,85376,90436,96642,97885,108736,110687,112767,113436,115482,118278,119547,128552,136392,139143,
chr12	21958107	22089628	NM_005691	0	-	21958107	22089608	0	38	138,63,134,104,109,79,131,121,102,103,93,158,70,149,230,97,126,138,81,85,102,39,106,73,108,109,143,41,163,135,156,153,195,243,167,122,142,162,	0,824,2172,4678,6875,9470,10589,12013,12976,23784,32904,37140,39309,39593,40429,42976,46923,47194,54412,55797,57779,59265,67451,70480,77592,82652,88858,90101,100952,102903,104983,105652,107698,110494,111763,120768,128608,131359,
chr12	20963637	21069843	NM_019844	0	+	20968672	21069181	0	16	61,115,149,142,133,122,147,99,243,165,196,166,185,65,118,906,	0,2820,4970,44324,47735,50313,51708,52052,64531,67068,68732,70151,72714,87732,90646,105300,
chr12	23685230	24715383	NM_001261414	0	-	23687152	24048957	0	17	2226,217,174,109,147,86,121,69,173,87,211,232,75,97,77,82,117,	0,4156,10914,14019,72090,108515,133147,202387,208570,223341,313686,363496,681046,744919,836266,875188,1030036,
chr12	23685230	24715383	NM_152989	0	-	23687152	24048957	0	18	2226,217,174,109,146,178,147,86,121,69,173,87,211,232,97,77,82,117,	0,4156,10914,14019,30961,43364,72090,108515,133147,202387,208570,223341,313686,363496,744919,836266,875188,1030036,
